"Center Dialog (default)","Mitte (Standard)"
"Bottom Right Dialog","Unten rechts"
"Bottom Left Dialog","Unten links"
"Top Right Dialog","Oben rechts"
"Top Left Dialog","Oben links"
"Bottom Tray","Untere Leiste"
"Auto (Store Locale)","Automatisch (Store-Sprache)"
"Enable Survey Opt-in","Umfrage-Opt-in aktivieren"
"Merchant Center ID","Merchant Center ID"
"Estimated Delivery Days","Geschätzte Liefertage"
"Opt-in Dialog Style","Dialog-Position"
"Survey Language","Umfragesprache"
"Survey Opt-in","Umfrage-Opt-in"
"Product GTIN Attribute","Produkt-GTIN-Attribut"
