"Center Dialog (default)","Centre Dialog (default)"
"Bottom Right Dialog","Bottom Right Dialog"
"Bottom Left Dialog","Bottom Left Dialog"
"Top Right Dialog","Top Right Dialog"
"Top Left Dialog","Top Left Dialog"
"Bottom Tray","Bottom Tray"
"Auto (Store Locale)","Auto (Store Locale)"
"Enable Survey Opt-in","Enable Survey Opt-in"
"Merchant Center ID","Merchant Centre ID"
"Estimated Delivery Days","Estimated Delivery Days"
"Opt-in Dialog Style","Opt-in Dialog Style"
"Survey Language","Survey Language"
"Survey Opt-in","Survey Opt-in"
"Product GTIN Attribute","Product GTIN Attribute"
